Day Index,Users,Pageviews
2014-07-10,703,1811
2014-08-10,640,1646
2014-09-10,681,2027
2014-10-10,553,1689
2014-11-10,276,784
2014-12-10,317,785
2014-13-10,607,1647
2014-14-10,624,1688
2014-15-10,581,1354
2014-16-10,603,1640
2014-17-10,505,1618
2014-18-10,267,707
2014-19-10,267,898
2014-20-10,591,1571
2014-21-10,537,1680
2014-22-10,578,1947
2014-23-10,607,1822
2014-24-10,466,1344
2014-25-10,216,644
2014-26-10,288,1044
2014-27-10,583,1732
2014-28-10,609,1827
2014-29-10,562,1847
2014-30-10,580,1948
2014-31-10,497,1448
2014-01-11,226,568
2014-02-11,309,801
2014-03-11,678,1651
2014-04-11,657,1904
2014-05-11,618,2180
2014-06-11,733,3011
2014-07-11,549,1609
2014-08-11,238,509
2014-09-11,294,1013
2014-10-11,512,1724
2014-11-11,365,1347
2014-12-11,618,1789
2014-13-11,704,1833
2014-14-11,595,1617
2014-15-11,304,728
2014-16-11,355,962
2014-17-11,1201,4888
2014-18-11,1155,5290
2014-19-11,962,4483
2014-20-11,1016,4575
2014-21-11,985,3645
2014-22-11,361,1235
2014-23-11,369,1262
2014-24-11,779,2193
2014-25-11,681,2274
2014-26-11,855,4146
2014-27-11,734,2347
2014-28-11,546,1847
2014-29-11,324,1138
2014-30-11,341,930
2014-01-12,662,1929
2014-02-12,679,1999
2014-03-12,654,2274
2014-04-12,694,1946
2014-05-12,617,2272
2014-06-12,295,847
2014-07-12,301,950
2014-08-12,725,2314
2014-09-12,705,2053
2014-10-12,661,2213
2014-11-12,636,1924
2014-12-12,592,2210
2014-13-12,274,861
2014-14-12,284,740
2014-15-12,721,2161
2014-16-12,725,2147
2014-17-12,634,1772
2014-18-12,684,1788
2014-19-12,504,1349
2014-20-12,275,780
2014-21-12,242,692
2014-22-12,556,1740
2014-23-12,430,1291
2014-24-12,296,986
2014-25-12,155,417
2014-26-12,273,804
2014-27-12,240,745
2014-28-12,220,1299
2014-29-12,451,2139
2014-30-12,398,1459
2014-31-12,366,1124
2015-01-01,180,554
2015-02-01,362,1199
2015-03-01,262,744
2015-04-01,290,668
2015-05-01,645,1564
2015-06-01,698,2085
2015-07-01,572,1450
2015-08-01,521,1316
2015-09-01,426,1118
2015-10-01,239,545
2015-11-01,225,571
2015-12-01,662,2106
2015-13-01,668,1836
2015-14-01,564,1482
2015-15-01,586,1566
2015-16-01,551,1506
2015-17-01,295,830
2015-18-01,307,864
2015-19-01,688,2043
2015-20-01,634,1775
2015-21-01,658,1807
2015-22-01,646,1867
2015-23-01,657,1805
2015-24-01,330,1098
2015-25-01,338,1049
2015-26-01,664,1913
